user_name,test_name,test_datetime,part_number,stage_serial
cdelsignore,Accuracy,2025-07-14 11:34:45,PRO225LM0536-ES19347-01,518682-01
gschliffka,Accuracy1DXY,2025-07-14 11:49:56,ANT130XY-160-E1,525303-01
gschliffka,Accuracy1DXY,2025-07-14 11:53:13,ANT130XY-160-E1,525303-01
nguy,Accuracy2D,2025-07-14 12:00:53,ES18837,507846-02
cdelsignore,Accuracy,2025-07-14 12:11:07,PRO225LM0536-ES19347-01,518682-01
cdelsignore,Accuracy,2025-07-14 12:13:02,PRO225LM0536-ES19347-01,518682-01
cdelsignore,Accuracy,2025-07-14 12:34:52,PRO225LM0536-ES19347-01,518682-01
cdelsignore,Accuracy,2025-07-14 12:45:47,PRO225LM0536-ES19347-01,518682-01
bmowry,Accuracy2D,2025-07-14 13:04:13,PRO165LM-310,508103-01
cdelsignore,Accuracy,2025-07-14 14:43:27,AGS10000,518670-01
cdelsignore,Accuracy,2025-07-14 14:51:56,AGS10000,518670-01
bmowry,Accuracy2D,2025-07-14 15:07:46,PRO165LM-310,508103-01
bmowry,Accuracy2D,2025-07-15 07:59:01,PRO165LM-310,508103-01
bmowry,Accuracy2D,2025-07-15 09:46:26,PRO165LM-310,508103-01
bmowry,Accuracy2D,2025-07-15 13:10:23,PRO165LM-310,508103-01
nguy,Accuracy2D,2025-07-15 14:26:40,ES18837,507846-02
mdepaoli,Straightness,2025-07-16 06:47:35,ANT130LZ,527244-03
mdepaoli,Accuracy,2025-07-16 07:07:31,ANT130LZ,527244-03
mdepaoli,Accuracy,2025-07-16 07:09:10,ANT130LZ,527244-03
mdepaoli,Accuracy,2025-07-16 07:11:29,ANT130LZ,527244-03
mdepaoli,Accuracy,2025-07-16 07:15:21,ANT130LZ,527244-03
mdepaoli,Accuracy,2025-07-16 07:15:41,ANT130LZ,527244-03
mdepaoli,Accuracy,2025-07-16 07:28:38,ANT130LZ,527244-03
mdepaoli,Accuracy,2025-07-16 07:28:56,ANT130LZ,527244-03
mdepaoli,Accuracy,2025-07-16 07:59:03,ANT130LZ,527244-03
dyounge,SixDegree,2025-07-16 08:06:51,ANT130LZS-060,523103-03
mdepaoli,Accuracy,2025-07-16 08:07:27,ANT130LZ,527244-03
mdepaoli,Accuracy,2025-07-16 08:19:17,ANT130LZ,527244-03
mdepaoli,Accuracy,2025-07-16 08:19:40,ANT130LZ,527244-03
mdepaoli,Accuracy,2025-07-16 08:30:39,ANT130LZ,527244-03
mdepaoli,Accuracy,2025-07-16 08:35:32,ANT130LZ,527244-03
mdepaoli,Accuracy,2025-07-16 08:37:53,ANT130LZ,527244-03
mdepaoli,Accuracy,2025-07-16 09:05:38,ANT130LZ,527244-03
mdepaoli,Accuracy,2025-07-16 09:19:32,ANT130LZ,527244-03
mdepaoli,Accuracy,2025-07-16 10:24:44,ANT130LZ,527244-03
mdepaoli,Accuracy,2025-07-16 10:32:10,ANT130LZ,527244-03
mdepaoli,Accuracy,2025-07-16 10:32:29,ANT130LZ,527244-03
mdepaoli,Accuracy,2025-07-16 10:42:28,ANT130LZ,527244-03
mdepaoli,Accuracy,2025-07-16 11:24:09,ANT130LZ,527244-02
mdepaoli,Accuracy,2025-07-16 11:33:10,ANT130LZ,527244-02
mdepaoli,Accuracy,2025-07-16 11:36:28,ANT130LZ,527244-02
mdepaoli,Accuracy,2025-07-16 11:46:15,ANT130LZ,527244-02
mdepaoli,Accuracy,2025-07-16 12:00:26,ANT130LZ,527244-02
mdepaoli,Accuracy,2025-07-16 12:35:01,ANT130LZ,527244-02
mdepaoli,Accuracy,2025-07-16 13:33:26,ANT130LZ,527244-02
mdepaoli,Accuracy,2025-07-16 13:47:45,ANT130LZ,527244-02
mdepaoli,Accuracy,2025-07-16 13:54:18,ANT130LZ,527244-02
mdepaoli,Accuracy,2025-07-16 14:07:35,ANT130LZ,527244-02
mdepaoli,Accuracy,2025-07-16 14:15:56,ANT130LZ,527244-02
mdepaoli,Flatness,2025-07-16 15:08:13,ANT130LZ,527244-02
mdepaoli,Flatness,2025-07-16 15:08:26,ANT130LZ,527244-02
mdepaoli,Flatness,2025-07-16 15:13:17,ANT130LZ,527244-02
mdepaoli,Flatness,2025-07-17 06:04:54,ANT130LZ,527244-02
mdepaoli,Flatness,2025-07-17 06:05:08,ANT130LZ,527244-02
mdepaoli,Flatness,2025-07-17 06:07:39,ANT130LZ,527244-02
mdepaoli,Straightness,2025-07-17 06:52:39,ANT130LZ,527244-02
mdepaoli,Accuracy,2025-07-17 07:02:11,ANT130LZ,527244-02
mdepaoli,Accuracy,2025-07-17 07:34:16,ANT130LZ,527244-02
mdepaoli,Accuracy,2025-07-17 07:40:55,ANT130LZ,527244-02
mdepaoli,Accuracy,2025-07-17 07:47:18,ANT130LZ,527244-02
mdepaoli,Accuracy,2025-07-17 07:55:14,ANT130LZ,527244-02
mdepaoli,Flatness,2025-07-17 08:16:53,ANT130LZ,527244-02
mdepaoli,Straightness,2025-07-17 08:20:48,ANT130LZ,527244-02
mdepaoli,Straightness,2025-07-17 08:21:08,ANT130LZ,527244-02
mdepaoli,Straightness,2025-07-17 08:21:14,ANT130LZ,527244-02
dyounge,Accuracy2D,2025-07-17 08:24:19,ES18837-6,508115-01
mdepaoli,Flatness,2025-07-17 08:26:00,ANT130LZ,527244-02
mdepaoli,Flatness,2025-07-17 08:26:09,ANT130LZ,527244-02
mdepaoli,Flatness,2025-07-17 08:29:26,ANT130LZ,527244-02
mdepaoli,Flatness,2025-07-17 08:36:59,ANT130LZ,527244-02
mdepaoli,Flatness,2025-07-17 08:37:22,ANT130LZ,527244-02
mdepaoli,Flatness,2025-07-17 09:02:14,ANT130LZ,527244-02
mdepaoli,Straightness,2025-07-17 09:22:20,ANT130LZ,527244-02
ajung,SixDegree,2025-07-17 09:23:53,PRO225LM-0200-TT1-E2-CMS3-PL2-TAS,530512-01
mdepaoli,Flatness,2025-07-17 09:28:19,ANT130LZ,527244-02
ajung,SixDegree,2025-07-17 09:47:55,PRO225LM-0200-TT1-E2-CMS3-PL2-TAS,530512-01
mdepaoli,Flatness,2025-07-17 10:25:12,ANT130LZ,527244-02
mdepaoli,Flatness,2025-07-17 10:46:17,ANT130LZ,527244-02
cdelsignore,SixDegree,2025-07-17 10:52:31,FIBERMAXHP-ZXY,522291-01
mdepaoli,Flatness,2025-07-17 11:28:07,ANT130LZ,527244-02
mdepaoli,Flatness,2025-07-17 11:28:16,ANT130LZ,527244-02
mdepaoli,Flatness,2025-07-17 11:33:49,ANT130LZ,527244-02
mdepaoli,Flatness,2025-07-17 11:33:57,ANT130LZ,527244-02
mdepaoli,Flatness,2025-07-17 11:36:45,ANT130LZ,527244-02
mdepaoli,Flatness,2025-07-17 11:47:11,ANT130LZ,527244-02
mdepaoli,Flatness,2025-07-17 11:47:19,ANT130LZ,527244-02
mdepaoli,Flatness,2025-07-17 11:49:44,ANT130LZ,527244-02
mdepaoli,Flatness,2025-07-17 11:49:51,ANT130LZ,527244-02
mdepaoli,Flatness,2025-07-17 11:49:58,ANT130LZ,527244-02
