sequence_id,start_time,end_time,num_stops,user_name,test_name,part_number,stage_serial
199,2025-08-22 14:33:42,2025-08-25 10:49:16,27,dyounge,SixDegree,ANT95LZ-025,527550-02
200,2025-09-22 13:49:40,2025-09-22 13:49:40,1,cdelsignore,SixDegree,PRO225LM-0600-E1,527656-01
201,2025-09-22 16:18:51,2025-09-22 16:18:51,1,cdelsignore,SixDegree,PRO165LM-0400-E1,527657-01
202,2025-09-23 09:10:16,2025-09-23 09:10:16,1,cdelsignore,SixDegree,PRO165SL-050,527658-01
203,2025-09-19 14:47:33,2025-09-19 14:47:33,1,dyounge,SixDegree,AGS1000-ES19619-3,529959-01
204,2025-09-22 12:05:12,2025-09-22 12:32:24,3,dyounge,SixDegree,PRO225LM-0600,530337-01
205,2025-07-17 09:23:53,2025-07-17 11:54:20,3,ajung,SixDegree,PRO225LM-0200-TT1-E2-CMS3-PL2-TAS,530512-01
206,2025-09-02 12:43:40,2025-09-02 13:00:33,2,cdelsignore,SixDegree,ANT130V-5,531237-01
207,2025-09-17 08:29:57,2025-09-17 08:29:57,1,cdelsignore,SixDegree,PRO280SL-500,532045-01
208,2025-09-17 09:13:50,2025-09-17 11:59:44,2,cdelsignore,SixDegree,PRO225SL-400,532046-01
209,2025-09-19 11:45:17,2025-09-19 11:45:17,1,cdelsignore,SixDegree,PRO165LM-0400-E1,532173-01
210,2025-08-20 11:59:21,2025-08-20 11:59:21,1,gschliffka,Straightness,ANT130LZS-160-ES16890-72,502662-01
211,2025-06-19 09:05:35,2025-06-19 09:05:35,1,atempalski,Straightness,ES16890-66,506095-01
212,2025-07-02 10:05:47,2025-07-02 10:06:27,2,ajung,Straightness,ANT130LZS,515770-01
213,2025-06-13 10:50:15,2025-06-13 10:55:43,2,nguy,Straightness,ABL1500-100,516834-01
214,2025-06-13 14:02:12,2025-06-13 14:02:12,1,nguy,Straightness,ABL1500-100,516835-01
215,2025-06-17 12:49:42,2025-06-17 12:49:42,1,nguy,Straightness,ABL1500-100,516836-01
216,2025-06-12 09:33:40,2025-06-12 09:33:40,1,mdepaoli,Straightness,MPS75SL,518166-03
217,2025-07-23 15:54:31,2025-07-23 16:37:22,4,bmowry,Straightness,ABL1500WB-200-E3,518262-01
218,2025-07-24 09:43:51,2025-07-24 09:49:05,4,bmowry,Straightness,ABL1500-100-E3,518266-01
219,2025-07-24 12:40:30,2025-07-24 12:40:30,1,bmowry,Straightness,ABL1500Z-050-E3,518267-01
220,2025-06-11 09:27:44,2025-06-11 09:28:20,2,mdepaoli,Straightness,PRO165LM,525363-01
221,2025-07-18 07:01:58,2025-07-18 07:01:58,1,mdepaoli,Straightness,ANT130LZ,527244-01
222,2025-07-17 06:52:39,2025-07-17 09:22:20,5,mdepaoli,Straightness,ANT130LZ,527244-02
223,2025-07-16 06:47:35,2025-07-16 06:47:35,1,mdepaoli,Straightness,ANT130LZ,527244-03
224,2025-08-22 13:10:34,2025-08-22 13:10:34,1,dyounge,Straightness,ANT95LZ-025,527550-02
225,2025-08-26 11:52:17,2025-08-26 11:52:17,1,dyounge,Straightness,ANT95L-05,529741-01
226,2025-09-08 13:09:16,2025-09-08 13:25:48,2,cdelsignore,Straightness,PlanarDL-200XY,531236-01
